0  14  2.53320e+06  0.00000e+00  1.39508e+02 -1.00000e+04  0.00000e+00 -9.31017e+03
209  10  6.69743e+01  0.00000e+00 -4.38418e+03 -4.39770e+03  1.23432e+03  6.26566e+09
210   8  3.68879e+01  0.00000e+00 -4.38432e+03 -4.39751e+03  1.23437e+03  6.29564e+09
211  12  1.19465e+02  0.00000e+00 -4.38343e+03 -4.39895e+03  1.23435e+03  6.32562e+09
212  11  6.93192e+01  0.00000e+00 -4.38425e+03 -4.39775e+03  1.23432e+03  6.35560e+09
213  12  5.47084e+01  0.00000e+00 -4.38546e+03 -4.39772e+03  1.23446e+03  6.38558e+09
214  11  8.52879e+01  0.00000e+00 -4.38619e+03 -4.39747e+03  1.23446e+03  6.41556e+09
215  12  4.95946e+01  0.00000e+00 -4.38602e+03 -4.39684e+03  1.23438e+03  6.44554e+09
216  12  1.09237e+02  0.00000e+00 -4.38460e+03 -4.39952e+03  1.23437e+03  6.47552e+09
217   9  6.66890e+01  0.00000e+00 -4.38412e+03 -4.39882e+03  1.23433e+03  6.50550e+09
218  13  8.43739e+01  0.00000e+00 -4.38407e+03 -4.40029e+03  1.23436e+03  6.53547e+09
219   9  3.52802e+01  0.00000e+00 -4.38500e+03 -4.39761e+03  1.23438e+03  6.56545e+09
220  11  7.33311e+01  0.00000e+00 -4.38331e+03 -4.39877e+03  1.23433e+03  6.59543e+09
221  12  9.16864e+01  0.00000e+00 -4.38504e+03 -4.39855e+03  1.23436e+03  6.62541e+09
222  13  8.18100e+01  0.00000e+00 -4.38488e+03 -4.39892e+03  1.23434e+03  6.65539e+09
223  11  6.25971e+01  0.00000e+00 -4.38330e+03 -4.39975e+03  1.23433e+03  6.68537e+09
224  13  8.73088e+01  0.00000e+00 -4.38479e+03 -4.39939e+03  1.23434e+03  6.71535e+09
225  13  1.13380e+02  0.00000e+00 -4.38387e+03 -4.39862e+03  1.23434e+03  6.74533e+09
226  12  7.37690e+01  0.00000e+00 -4.38383e+03 -4.40093e+03  1.23442e+03  6.77531e+09
227  11  3.32455e+01  0.00000e+00 -4.38387e+03 -4.39403e+03  1.24414e+03  6.80529e+09
228  11  6.75511e+01  0.00000e+00 -4.38507e+03 -4.40057e+03  1.24157e+03  6.83527e+09
229  13  1.14584e+02  0.00000e+00 -4.38375e+03 -4.39948e+03  1.23435e+03  6.86525e+09
230  11  8.72380e+01  0.00000e+00 -4.38365e+03 -4.39997e+03  1.23434e+03  6.89523e+09
231  12  6.69942e+01  0.00000e+00 -4.38371e+03 -4.39890e+03  1.23435e+03  6.92521e+09
232  11  7.03505e+01  0.00000e+00 -4.38439e+03 -4.39748e+03  1.23435e+03  6.95518e+09
233  11  6.86045e+01  0.00000e+00 -4.38461e+03 -4.39905e+03  1.23438e+03  6.98516e+09
234  11  5.61267e+01  0.00000e+00 -4.38275e+03 -4.39494e+03  1.23274e+03  7.01514e+09
235  10  6.92456e+01  0.00000e+00 -4.38304e+03 -4.38805e+03  1.24360e+03  7.04512e+09
236  10  2.89061e+01  0.00000e+00 -4.38569e+03 -4.39721e+03  1.23440e+03  7.07510e+09
237  12  9.98347e+01  0.00000e+00 -4.38283e+03 -4.40096e+03  1.23437e+03  7.10508e+09
238  13  9.02368e+01  0.00000e+00 -4.38394e+03 -4.39926e+03  1.23436e+03  7.13506e+09
239  10  5.97003e+01  0.00000e+00 -4.38375e+03 -4.39821e+03  1.23435e+03  7.16504e+09
240  13  1.01892e+02  0.00000e+00 -4.38429e+03 -4.39950e+03  1.23434e+03  7.19502e+09
241  10  4.03521e+01  0.00000e+00 -4.38358e+03 -4.39620e+03  1.23705e+03  7.22500e+09
242  10  5.51172e+01  0.00000e+00 -4.38349e+03 -4.39949e+03  1.23435e+03  7.25498e+09
243  13  9.81526e+01  0.00000e+00 -4.38458e+03 -4.40017e+03  1.23437e+03  7.28496e+09
244  11  1.06382e+02  0.00000e+00 -4.38481e+03 -4.39845e+03  1.23435e+03  7.31494e+09
245  10  3.45855e+01  0.00000e+00 -4.38263e+03 -4.38862e+03  1.22828e+03  7.34491e+09
246  10  4.96009e+01  0.00000e+00 -4.38367e+03 -4.39878e+03  1.23438e+03  7.37489e+09
247  10  4.85159e+01  0.00000e+00 -4.38361e+03 -4.39883e+03  1.23438e+03  7.40487e+09
248  12  9.06069e+01  0.00000e+00 -4.38453e+03 -4.39869e+03  1.23437e+03  7.43485e+09
249  10  7.92358e+01  0.00000e+00 -4.38397e+03 -4.39925e+03  1.23440e+03  7.46483e+09
250  11  1.27346e+02  0.00000e+00 -4.38319e+03 -4.39856e+03  1.23437e+03  7.49481e+09
251  12  9.69487e+01  0.00000e+00 -4.38454e+03 -4.39761e+03  1.23439e+03  7.52479e+09
252  10  6.45253e+01  0.00000e+00 -4.38351e+03 -4.39785e+03  1.23438e+03  7.55477e+09
253  11  6.15416e+01  0.00000e+00 -4.38327e+03 -4.39853e+03  1.24717e+03  7.58475e+09
254   9  3.23863e+01  0.00000e+00 -4.38575e+03 -4.39903e+03  1.23448e+03  7.61473e+09
